tu,close,timestamp,volume,high,low,open,datetime
2091493707.0,87.05,1732492800000,24055132,88.4,85.6,88.1,2024-11-25
32004693064.9,86.3,1732579200000,371580125,87.55,83.0,87.05,2024-11-26
76420898198.7,88.5,1732665600000,877297048,88.9,83.0,86.3,2024-11-27
81289759449.2,87.75,1732752000000,920367404,92.0,87.1,88.5,2024-11-28
142267819288.6,91.1,1732838400000,1567393373,92.3,87.75,87.75,2024-11-29
220133902876.2,88.75,1733097600000,2482714618,92.0,87.3,91.1,2024-12-02
197328907913.05,88.05,1733184000000,2245104244,102.0,86.5,88.75,2024-12-03
78052618434.65,87.85,1733270400000,896440646,89.1,81.0,88.05,2024-12-04
34921493001.1,86.25,1733356800000,400784630,100.0,86.0,87.85,2024-12-05
81729140947.9,88.25,1733443200000,931086313,88.7,83.0,86.25,2024-12-06
172262107582.35,91.9,1733702400000,1910053608,92.45,86.45,88.25,2024-12-09
320655009810.2,90.05,1733788800000,3496536702,95.2,89.5,91.9,2024-12-10
42536713717.95,88.6,1733875200000,476909632,91.45,88.2,90.05,2024-12-11
69709471508.5,90.4,1733961600000,770477866,100.0,88.0,88.6,2024-12-12
58595033846.25,85.95,1734048000000,668769896,100.0,85.7,90.4,2024-12-13
39611311579.8,85.45,1734307200000,459531904,87.65,85.2,85.95,2024-12-16
27085459406.1,85.25,1734393600000,318039403,86.75,82.9,85.45,2024-12-17
123946101004.1,89.9,1734480000000,1390149140,90.35,85.25,85.25,2024-12-18
69470430361.25,91.05,1734566400000,770203650,91.35,85.45,89.9,2024-12-19
137378884983.3,93.25,1734652800000,1469596733,104.7,91.0,91.05,2024-12-20
29689097495.4,94.4,1734912000000,316822490,95.0,91.9,93.25,2024-12-23
273940468591.75,100.4,1735257600000,2752631030,101.7,95.8,96.0,2024-12-27
137733740824.65,98.1,1735516800000,1395388233,100.7,97.4,100.4,2024-12-30
78329874040.05,93.95,1735603200000,823610044,103.0,89.7,103.0,2024-12-31
138022233776.9,93.9,1735776000000,1465537732,95.25,92.6,93.2,2025-01-02
156021710840.95,96.05,1735862400000,1619120885,107.9,93.0,93.9,2025-01-03
84551402077.2,94.35,1736121600000,887431620,97.1,93.75,96.05,2025-01-06
100517641554.9,92.85,1736208000000,1083089252,99.05,91.45,94.35,2025-01-07
68566874537.0,91.55,1736294400000,745063560,95.0,90.85,92.85,2025-01-08
112120618963.7,87.5,1736380800000,1270541422,91.55,87.4,91.55,2025-01-09
57513916401.3,87.95,1736467200000,651083970,89.3,87.4,87.5,2025-01-10
87759365553.35,85.3,1736726400000,1023185197,89.0,84.85,87.95,2025-01-13
68441562886.75,88.15,1736812800000,781595334,88.75,83.55,85.3,2025-01-14
63735238484.0,85.4,1736899200000,744840030,90.0,82.75,88.15,2025-01-15
85319283236.2,85.4,1736985600000,997006962,87.7,83.25,85.4,2025-01-16
55725800781.3,86.75,1737072000000,644377747,90.0,81.15,85.4,2025-01-17
75765928893.4,89.35,1737331200000,849185356,90.5,86.7,86.75,2025-01-20
177512415543.75,94.1,1737417600000,1890113938,95.65,89.35,89.35,2025-01-21
110530827695.5,90.7,1737504000000,1209179427,98.8,90.45,98.8,2025-01-22
74970104602.25,87.3,1737590400000,848993864,96.8,86.95,90.7,2025-01-23
71488167577.85,89.7,1737676800000,798642093,96.0,87.3,87.3,2025-01-24
91805412699.95,92.0,1737936000000,994759645,93.55,88.3,89.7,2025-01-27
7841230033.1,91.9,1738022400000,85531409,93.0,90.0,92.0,2025-01-28
59210943600.85,86.65,1738540800000,687449821,94.65,82.75,91.9,2025-02-03
147200772473.9,94.2,1738627200000,1582970738,94.95,86.65,86.65,2025-02-04
