tu,close,timestamp,volume,high,low,open,datetime
3538868522.65,25.1,1732492800000,142053986,25.45,24.05,25.25,2024-11-25
90563526067.05,24.65,1732579200000,3651581351,25.45,24.4,25.1,2024-11-26
138874878298.25,25.7,1732665600000,5523352161,25.8,24.15,24.65,2024-11-27
89654435555.65,25.15,1732752000000,3520295011,26.0,25.05,25.7,2024-11-28
165098571812.6,26.0,1732838400000,6304584265,27.0,25.15,25.15,2024-11-29
136684142978.45,26.4,1733097600000,5185217736,27.3,25.8,26.0,2024-12-02
127576721810.05,26.0,1733184000000,4914263890,26.9,25.6,26.4,2024-12-03
180174911560.1,26.3,1733270400000,6761885976,27.1,26.0,26.0,2024-12-04
40594560722.7,26.1,1733356800000,1547309510,26.65,26.05,26.3,2024-12-05
130533039078.4,26.45,1733443200000,4932067363,26.95,25.45,26.1,2024-12-06
129379379313.35,27.55,1733702400000,4851267537,27.6,25.9,26.45,2024-12-09
431007362508.5,27.0,1733788800000,15588945723,28.65,26.8,28.55,2024-12-10
66502800700.75,26.8,1733875200000,2462837604,27.5,26.75,27.0,2024-12-11
67917590003.95,27.1,1733961600000,2509242477,27.55,26.6,26.8,2024-12-12
96932929451.95,25.9,1734048000000,3705694681,27.2,25.8,27.1,2024-12-13
65782480900.25,25.35,1734307200000,2577596867,26.0,25.2,25.9,2024-12-16
79123435975.25,25.25,1734393600000,3112108664,26.1,24.85,25.35,2024-12-17
42498671950.1,25.95,1734480000000,1649377785,26.1,25.25,25.25,2024-12-18
56134833428.25,26.15,1734566400000,2151515146,26.6,25.35,25.95,2024-12-19
2082166992418.75,28.3,1734652800000,73315101153,29.75,26.15,26.15,2024-12-20
841900308502.9,29.35,1734912000000,28852066646,29.85,28.25,28.3,2024-12-23
2004450814552.45,30.65,1735257600000,64670719710,31.9,28.4,29.6,2024-12-27
1283866062754.05,32.6,1735516800000,39720637410,33.0,30.6,30.65,2024-12-30
477143064655.3,31.8,1735603200000,14850125265,33.2,31.2,32.6,2024-12-31
921289168705.75,29.0,1735776000000,31159990159,31.15,28.9,30.55,2025-01-02
468070210919.6,29.55,1735862400000,15889758013,30.4,28.35,29.0,2025-01-03
230489242694.8,29.65,1736121600000,7703739715,30.6,29.5,29.55,2025-01-06
377239702472.9,31.15,1736208000000,12354985520,31.2,29.3,29.65,2025-01-07
304536834926.4,30.55,1736294400000,9921792370,31.5,29.55,31.15,2025-01-08
347673915164.7,31.45,1736380800000,10949488278,32.5,30.5,30.55,2025-01-09
