tu,close,timestamp,volume,high,low,open,datetime
2300953661.15,45.15,1732492800000,50865198,47.1,44.5,47.05,2024-11-25
42017346950.2,44.4,1732579200000,935987662,46.9,44.2,45.15,2024-11-26
126980508342.35,46.2,1732665600000,2799529212,46.65,42.9,44.4,2024-11-27
44210044941.1,45.35,1732752000000,963381386,51.0,45.15,46.2,2024-11-28
46099839723.15,46.45,1732838400000,992500607,47.25,45.35,45.35,2024-11-29
111547420208.0,48.8,1733097600000,2287759382,49.6,46.45,46.45,2024-12-02
89950587817.55,48.75,1733184000000,1854078988,49.8,47.4,48.8,2024-12-03
140712899002.8,50.0,1733270400000,2808360878,50.95,48.75,48.75,2024-12-04
58082344727.3,49.95,1733356800000,1160873725,50.8,49.5,50.0,2024-12-05
74724837851.35,50.05,1733443200000,1496964387,50.7,48.65,49.95,2024-12-06
132224670080.25,52.45,1733702400000,2612981890,52.65,48.3,50.05,2024-12-09
233599009317.65,51.5,1733788800000,4443497111,57.0,51.1,52.45,2024-12-10
71938596109.75,50.7,1733875200000,1412636770,52.5,50.2,51.5,2024-12-11
69451235644.2,50.8,1733961600000,1363743724,52.95,49.55,50.7,2024-12-12
115644647598.45,47.8,1734048000000,2334797629,58.4,47.5,50.8,2024-12-13
42812535072.8,48.0,1734307200000,889610965,49.75,47.25,47.8,2024-12-16
52291567557.85,48.15,1734393600000,1081538012,49.4,47.0,48.0,2024-12-17
44194988369.55,50.1,1734480000000,883179398,52.5,48.15,48.15,2024-12-18
28409588860.25,48.5,1734566400000,580132972,57.6,48.05,50.1,2024-12-19
35941773698.05,48.6,1734652800000,733108010,50.2,48.35,48.5,2024-12-20
5619927014.7,49.1,1734912000000,115118183,50.2,48.25,48.6,2024-12-23
97456659322.75,49.35,1735257600000,1968692466,51.35,48.5,50.1,2024-12-27
80331333750.6,46.5,1735516800000,1699663563,49.4,46.15,49.35,2024-12-30
37186288625.6,46.65,1735603200000,803854967,46.9,44.5,46.5,2024-12-31
26521429649.6,45.0,1735776000000,586107613,46.05,44.9,45.3,2025-01-02
58103966636.25,44.7,1735862400000,1291036788,48.6,44.0,45.0,2025-01-03
100220907148.05,46.2,1736121600000,2183260353,47.05,40.0,44.7,2025-01-06
80062776697.3,47.45,1736208000000,1698207439,53.1,45.2,53.1,2025-01-07
