tu,close,timestamp,volume,high,low,open,datetime
6628818353.0,46.35,1732492800000,143421516,46.7,42.0,45.25,2024-11-25
116587254090.55,46.75,1732579200000,2537763286,46.95,39.4,46.35,2024-11-26
101929339623.05,47.75,1732665600000,2160472611,48.15,46.05,46.75,2024-11-27
154212086651.55,47.4,1732752000000,3183211686,51.0,47.2,47.75,2024-11-28
107600138110.9,48.2,1732838400000,2238167549,49.15,47.0,47.4,2024-11-29
98472673324.25,48.6,1733097600000,2048004826,48.9,45.0,48.2,2024-12-02
120020287944.6,48.65,1733184000000,2467749872,49.5,46.2,48.6,2024-12-03
153484138271.25,47.3,1733270400000,3230625227,52.3,46.95,48.65,2024-12-04
93297703008.35,46.75,1733356800000,1956799292,52.3,46.35,52.0,2024-12-05
112561491640.85,47.6,1733443200000,2340907958,49.95,46.45,49.05,2024-12-06
429453966201.5,48.45,1733702400000,9108394473,48.5,45.25,47.6,2024-12-09
476433328330.05,47.15,1733788800000,9818865030,51.0,47.0,51.0,2024-12-10
202366524284.7,46.6,1733875200000,4304987452,48.9,46.25,48.9,2024-12-11
186807200801.1,47.75,1733961600000,3956350003,48.4,42.2,46.6,2024-12-12
152908490029.9,46.5,1734048000000,3209762299,49.2,46.25,49.2,2024-12-13
141284398165.0,45.0,1734307200000,3110726698,49.0,44.75,46.5,2024-12-16
91901520593.85,45.2,1734393600000,2031741787,46.3,44.15,45.0,2024-12-17
24859337471.05,45.6,1734480000000,545127149,46.2,44.8,45.2,2024-12-18
56820374317.8,45.2,1734566400000,1255295314,48.8,44.6,45.6,2024-12-19
305039835744.25,42.75,1734652800000,7071995833,45.35,42.65,45.2,2024-12-20
68114740010.85,42.3,1734912000000,1599930043,43.75,42.05,42.75,2024-12-23
49610790793.35,42.25,1735257600000,1162961704,45.0,41.9,43.05,2024-12-27
83817151973.1,41.9,1735516800000,1998731112,42.55,41.6,42.25,2024-12-30
25532008449.1,41.35,1735603200000,615115556,41.9,41.2,41.9,2024-12-31
41591792641.45,40.55,1735776000000,1025308928,41.15,40.3,40.65,2025-01-02
35827582197.3,40.8,1735862400000,879935754,41.25,40.2,40.55,2025-01-03
61447547785.35,40.3,1736121600000,1515433247,41.5,39.75,40.8,2025-01-06
97489571007.9,40.65,1736208000000,2409771105,41.5,38.05,41.5,2025-01-07
53355802840.25,40.05,1736294400000,1314706013,41.5,39.85,40.65,2025-01-08
34007956696.4,40.05,1736380800000,848677237,41.5,39.8,41.5,2025-01-09
33239052884.7,39.35,1736467200000,839568154,41.25,39.15,40.05,2025-01-10
48635206698.1,38.8,1736726400000,1253951350,39.7,38.15,39.35,2025-01-13
102737692046.3,40.7,1736812800000,2529610920,41.35,38.1,38.8,2025-01-14
75067014584.5,40.2,1736899200000,1863583476,40.7,40.0,40.7,2025-01-15
59087507942.85,40.8,1736985600000,1445358499,42.1,40.2,40.2,2025-01-16
46173634774.0,40.75,1737072000000,1131572677,41.35,40.35,40.8,2025-01-17
76758563007.05,41.4,1737331200000,1846482453,42.3,40.95,40.95,2025-01-20
53502777885.4,41.5,1737417600000,1287283239,42.2,40.9,41.4,2025-01-21
57534558237.15,40.45,1737504000000,1420534833,42.2,35.3,35.3,2025-01-22
87390660328.4,40.1,1737590400000,2160343857,42.2,39.8,40.45,2025-01-23
77339599062.65,40.55,1737676800000,1915628603,41.0,39.5,40.1,2025-01-24
248012875485.4,42.1,1737936000000,5901477533,43.0,40.55,40.55,2025-01-27
67860915902.35,42.1,1738022400000,1602357884,42.8,41.6,42.1,2025-01-28
131565535862.85,41.65,1738540800000,3181049324,45.8,39.35,42.1,2025-02-03
