tu,close,timestamp,volume,high,low,open,datetime
2815742409.545,77.85,1732492800000,36138150,78.761,76.698,76.698,2024-11-25
133629738002.5,81.1,1732579200000,1645264560,84.1,76.0,77.85,2024-11-26
31091325367.5,82.35,1732665600000,380156085,82.95,75.45,81.1,2024-11-27
48503953698.7,80.45,1732752000000,600316029,85.05,79.05,82.35,2024-11-28
43307343097.9,81.3,1732838400000,542907892,81.85,76.45,80.45,2024-11-29
27964855724.95,82.9,1733097600000,338037832,84.95,77.8,81.3,2024-12-02
39239046696.0,84.15,1733184000000,466359759,85.05,81.0,82.9,2024-12-03
40585854144.8,83.65,1733270400000,485641473,85.0,79.8,85.0,2024-12-04
39816737645.75,83.85,1733356800000,477243196,85.0,81.0,82.45,2024-12-05
37970312875.1,84.95,1733443200000,451259110,85.45,80.85,83.85,2024-12-06
88665939081.15,87.1,1733702400000,1030252239,87.25,82.95,84.95,2024-12-09
169715440471.0,85.55,1733788800000,1968173240,90.15,84.65,87.5,2024-12-10
50512862020.85,85.5,1733875200000,594048391,88.0,81.5,85.55,2024-12-11
47719836930.85,87.6,1733961600000,544932851,89.1,83.45,85.5,2024-12-12
50241548415.1,86.85,1734048000000,576525393,91.8,84.8,90.0,2024-12-13
41154817379.3,87.2,1734307200000,469872418,90.0,86.7,86.85,2024-12-16
50432876438.85,86.25,1734393600000,595504960,87.4,82.0,87.3,2024-12-17
23681842376.65,87.75,1734480000000,270342801,91.0,86.25,86.25,2024-12-18
93610770867.9,84.1,1734566400000,1113174865,87.75,81.75,87.75,2024-12-19
59409124310.5,81.95,1734652800000,722713672,84.45,79.9,84.1,2024-12-20
28506504661.9,84.95,1734912000000,330722729,89.25,81.25,81.8,2024-12-23
42246340871.7,85.0,1735257600000,494336565,88.0,83.6,85.65,2024-12-27
45985808570.95,83.8,1735516800000,548912033,85.8,83.0,85.0,2024-12-30
19424716703.2,82.7,1735603200000,234117361,86.8,81.8,83.8,2024-12-31
59160393391.3,80.8,1735776000000,732187793,81.95,80.05,80.75,2025-01-02
39645601243.0,81.05,1735862400000,485957021,88.8,80.35,80.8,2025-01-03
24671291268.65,80.75,1736121600000,303898304,82.0,80.2,81.05,2025-01-06
36493086742.5,80.45,1736208000000,453256131,81.25,79.5,80.75,2025-01-07
37608621175.95,79.85,1736294400000,472791692,80.6,76.25,80.45,2025-01-08
13494485415.15,78.85,1736380800000,170091378,80.6,78.65,79.85,2025-01-09
15391068020.1,77.7,1736467200000,197580052,79.4,75.0,78.85,2025-01-10
41339518501.05,75.9,1736726400000,545367379,77.7,74.3,77.7,2025-01-13
81727899157.15,77.55,1736812800000,1066002651,79.85,64.55,76.0,2025-01-14
23985089476.9,78.5,1736899200000,305983012,80.7,75.55,77.55,2025-01-15
35904922648.05,79.1,1736985600000,454655552,80.5,75.55,78.5,2025-01-16
26493518097.5,78.65,1737072000000,341894030,79.2,75.0,75.0,2025-01-17
37998444406.4,80.8,1737331200000,469765893,82.3,78.65,78.65,2025-01-20
33623390034.3,81.75,1737417600000,415169423,83.8,77.5,80.8,2025-01-21
31691177097.2,80.15,1737504000000,395158833,82.5,77.9,81.75,2025-01-22
34097500500.9,79.8,1737590400000,430185196,81.15,76.4,80.15,2025-01-23
58374091459.0,81.55,1737676800000,727874386,82.3,78.1,79.8,2025-01-24
86371763654.5,84.75,1737936000000,1023003520,85.7,81.55,81.55,2025-01-27
119479600614.65,87.8,1738022400000,1364775419,88.6,84.75,84.75,2025-01-28
210989260749.2,84.45,1738540800000,2502444859,97.0,78.65,96.0,2025-02-03
96792426157.5,87.35,1738627200000,1116361130,89.0,84.45,84.45,2025-02-04
191366584039.85,87.8,1738713600000,2166904138,90.3,86.65,87.35,2025-02-05
97422581027.25,86.65,1738800000000,1122914738,90.5,85.0,87.8,2025-02-06
120305448268.95,86.25,1738886400000,1399282950,89.0,73.7,73.7,2025-02-07
168141501235.5,89.45,1739145600000,1893458008,89.95,73.35,73.35,2025-02-10
91641870232.15,88.75,1739232000000,1027712170,92.5,88.0,89.45,2025-02-11
210929107958.65,88.9,1739318400000,2394007370,91.0,85.1,88.75,2025-02-12
753157522845.7,94.0,1739404800000,7925587404,99.6,88.9,88.9,2025-02-13
596959213106.8,96.55,1739491200000,6147977521,100.5,93.55,94.0,2025-02-14
573503183090.15,89.85,1739750400000,6368762480,102.0,86.9,102.0,2025-02-17
330082989771.2,90.2,1739836800000,3640739122,96.0,88.85,91.0,2025-02-18
174005750139.2,88.35,1739923200000,1974995458,91.0,83.7,90.2,2025-02-19
122575680786.7,85.5,1740009600000,1426483242,88.35,85.25,88.35,2025-02-20
151758576943.6,89.5,1740096000000,1712885575,90.0,86.0,86.0,2025-02-21
243453390727.15,89.5,1740355200000,2718265507,91.3,86.5,89.5,2025-02-24
182770625472.35,86.0,1740441600000,2109327215,93.75,85.3,89.5,2025-02-25
155024271437.5,88.85,1740528000000,1764003965,89.8,81.7,81.7,2025-02-26
181238408699.9,87.75,1740614400000,2064416433,89.85,86.5,89.85,2025-02-27
213973128286.25,83.5,1740700800000,2551259357,89.85,82.7,89.85,2025-02-28
80296607146.25,83.3,1740960000000,957865539,85.15,82.8,83.5,2025-03-03
133599800861.05,84.75,1741046400000,1578589858,85.5,81.45,82.4,2025-03-04
102446929379.5,87.5,1741132800000,1174830078,88.85,83.0,84.75,2025-03-05
119368456368.6,91.15,1741219200000,1317129956,93.0,87.5,88.0,2025-03-06
127296444512.2,90.8,1741305600000,1398272630,95.3,85.0,85.0,2025-03-07
239676999785.85,92.0,1741564800000,2584617052,94.8,90.8,90.8,2025-03-10
99135076966.65,92.25,1741651200000,1085026753,92.85,88.8,92.0,2025-03-11
92577695363.1,90.05,1741737600000,1031420971,92.85,87.65,92.25,2025-03-12
81402830074.75,89.45,1741824000000,904139447,94.8,88.65,90.05,2025-03-13
98760709213.45,91.65,1741910400000,1069396493,95.0,89.45,89.45,2025-03-14
68406255928.35,92.05,1742169600000,738718574,98.0,91.55,91.65,2025-03-17
553068450208.15,103.3,1742256000000,5432981504,103.6,94.0,94.0,2025-03-18
211641403114.2,99.2,1742342400000,2106393293,115.0,97.5,110.0,2025-03-19
254043937323.9,93.8,1742428800000,2679630286,98.0,93.4,98.0,2025-03-20
263311348020.95,91.45,1742515200000,2842499067,102.5,91.0,94.0,2025-03-21
95274392666.55,93.55,1742774400000,1026020479,94.3,90.5,91.45,2025-03-24
87457249045.65,92.1,1742860800000,947453863,94.0,91.0,93.55,2025-03-25
70916202172.25,93.35,1742947200000,764876673,94.05,89.3,92.1,2025-03-26
105754230205.2,95.1,1743033600000,1105621833,97.95,93.3,93.35,2025-03-27
72875116847.3,93.2,1743120000000,772872126,96.75,90.35,95.1,2025-03-28
