日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-05,000655,8.96,9.6,9.71,8.93,208656,196728964.0,8.72,7.26,0.65,3.5
2015-01-06,000655,9.6,9.49,9.67,9.3,120697,114611285.0,3.85,-1.15,-0.11,2.03
2015-01-07,000655,9.58,9.69,10.02,9.5,191443,187522602.0,5.48,2.11,0.2,3.22
2015-01-08,000655,9.61,9.51,9.77,9.5,96792,93126509.0,2.79,-1.86,-0.18,1.63
2015-01-09,000655,9.46,9.6,9.95,9.43,126175,122499833.0,5.47,0.95,0.09,2.12
2015-01-12,000655,9.6,9.24,9.6,9.13,78476,73018744.0,4.9,-3.75,-0.36,1.32
2015-01-13,000655,9.24,9.14,9.29,9.11,46425,42588414.0,1.95,-1.08,-0.1,0.78
2015-01-14,000655,9.17,8.94,9.17,8.8,82212,73672575.0,4.05,-2.19,-0.2,1.38
2015-01-15,000655,8.89,9.1,9.1,8.88,51516,46404704.0,2.46,1.79,0.16,0.87
2015-01-16,000655,9.11,9.19,9.28,9.1,47506,43604496.0,1.98,0.99,0.09,0.8
2015-01-19,000655,8.91,8.47,9.0,8.28,92863,80972708.0,7.83,-7.83,-0.72,1.56
2015-01-20,000655,8.5,8.66,8.75,8.48,73319,63083546.0,3.19,2.24,0.19,1.23
2015-01-21,000655,8.67,8.9,8.98,8.65,61599,54504472.0,3.81,2.77,0.24,1.03
2015-01-22,000655,8.92,9.32,9.38,8.86,108747,100322754.0,5.84,4.72,0.42,1.83
2015-01-23,000655,9.33,9.14,9.43,9.03,90124,82955780.0,4.29,-1.93,-0.18,1.51
2015-01-26,000655,9.1,9.62,9.65,9.05,146277,138149948.0,6.56,5.25,0.48,2.46
2015-01-27,000655,9.73,10.18,10.58,9.73,395308,403999584.0,8.84,5.82,0.56,6.64
2015-01-28,000655,10.11,10.78,11.18,10.11,316231,339723104.0,10.51,5.89,0.6,5.31
2015-01-29,000655,10.69,10.97,11.19,10.5,266464,290425664.0,6.4,1.76,0.19,4.48
2015-01-30,000655,10.87,10.58,11.1,10.53,161127,174463966.0,5.2,-3.56,-0.39,2.71
2015-02-02,000655,10.49,10.57,10.8,10.19,111781,117848245.0,5.77,-0.09,-0.01,1.88
2015-02-03,000655,10.63,10.6,10.73,10.4,86137,90692576.0,3.12,0.28,0.03,1.45
2015-02-04,000655,10.51,10.36,10.89,10.21,117520,124706621.0,6.42,-2.26,-0.24,1.97
2015-02-05,000655,10.5,9.97,10.59,9.91,167191,168990238.0,6.56,-3.76,-0.39,2.81
2015-02-06,000655,9.9,9.91,10.16,9.75,77162,77014992.0,4.11,-0.6,-0.06,1.3
2015-02-09,000655,9.93,10.27,10.45,9.93,124297,127521852.0,5.25,3.63,0.36,2.09
2015-02-10,000655,10.2,10.3,10.46,10.1,82450,84908049.0,3.51,0.29,0.03,1.38
2015-02-11,000655,10.3,10.62,10.68,10.17,101069,105987399.0,4.95,3.11,0.32,1.7
2015-02-12,000655,10.62,10.56,10.93,10.5,88247,94340625.0,4.05,-0.56,-0.06,1.48
2015-02-13,000655,10.63,10.89,11.17,10.49,150844,164107793.0,6.44,3.13,0.33,2.53
2015-02-16,000655,10.99,10.98,11.24,10.94,147568,163842477.0,2.75,0.83,0.09,2.48
2015-02-17,000655,11.0,10.74,11.1,10.56,107814,115634341.0,4.92,-2.19,-0.24,1.81
2015-02-25,000655,10.71,10.77,10.89,10.52,66054,70741351.0,3.45,0.28,0.03,1.11
2015-02-26,000655,10.76,10.87,10.89,10.53,73141,78457627.0,3.34,0.93,0.1,1.23
2015-02-27,000655,10.82,11.96,11.96,10.82,307678,361405024.0,10.49,10.03,1.09,5.17
2015-03-02,000655,12.08,12.64,12.78,12.0,311575,388301456.0,6.52,5.69,0.68,5.23
2015-03-03,000655,12.64,12.3,12.64,12.22,159607,197371878.0,3.32,-2.69,-0.34,2.68
2015-03-04,000655,12.23,12.36,12.4,12.06,134139,163805109.0,2.76,0.49,0.06,2.25
2015-03-05,000655,12.3,12.38,12.7,12.13,146168,182210641.0,4.61,0.16,0.02,2.46
2015-03-06,000655,12.39,12.08,12.39,12.07,101869,124353999.0,2.58,-2.42,-0.3,1.71
2015-03-09,000655,12.03,12.2,12.48,11.72,106467,128237339.0,6.29,0.99,0.12,1.79
2015-03-10,000655,12.17,12.51,12.63,12.11,136836,169813815.0,4.26,2.54,0.31,2.3
2015-03-11,000655,12.62,12.5,12.87,12.4,116639,147301276.0,3.76,-0.08,-0.01,1.96
2015-03-12,000655,12.52,13.26,13.65,12.46,189449,249552362.0,9.52,6.08,0.76,3.18
2015-03-13,000655,13.1,13.2,13.3,12.96,95699,125665864.0,2.56,-0.45,-0.06,1.61
2015-03-16,000655,13.35,13.3,13.35,12.97,125255,164852520.0,2.88,0.76,0.1,2.1
2015-03-17,000655,13.36,13.37,13.97,13.34,151735,207666803.0,4.74,0.53,0.07,2.55
2015-03-18,000655,13.41,13.39,13.82,12.99,207755,276981152.0,6.21,0.15,0.02,3.49
2015-03-19,000655,13.23,13.34,13.35,12.95,164977,216573394.0,2.99,-0.37,-0.05,2.77
2015-03-20,000655,13.31,13.83,13.85,13.01,187707,253289109.0,6.3,3.67,0.49,3.15
2015-03-23,000655,13.96,14.44,14.82,13.96,159315,230477852.0,6.22,4.41,0.61,2.68
2015-03-24,000655,14.41,14.78,14.89,14.07,207084,301250672.0,5.68,2.35,0.34,3.48
2015-03-25,000655,14.8,14.89,15.15,14.51,145177,217092679.0,4.33,0.74,0.11,2.44
2015-03-26,000655,14.75,14.61,15.05,14.48,117279,172547096.0,3.83,-1.88,-0.28,1.97
2015-03-27,000655,14.55,15.45,15.48,14.52,154158,235451632.0,6.57,5.75,0.84,2.59
2015-03-30,000655,15.65,15.39,15.96,15.18,133932,207017448.0,5.05,-0.39,-0.06,2.25
2015-03-31,000655,15.46,15.39,15.7,15.14,107839,166391354.0,3.64,0.0,0.0,1.81
2015-04-01,000655,15.43,16.49,16.5,15.27,153177,247227583.0,7.99,7.15,1.1,2.57
2015-04-02,000655,16.51,17.99,18.0,16.5,172404,300450320.0,9.1,9.1,1.5,2.9
2015-04-03,000655,17.99,17.09,18.94,16.19,712642,1209344272.0,15.29,-5.0,-0.9,11.97
2015-04-07,000655,16.43,16.89,17.17,16.0,479224,793974128.0,6.85,-1.17,-0.2,8.05
2015-04-08,000655,16.8,16.9,17.08,16.08,357302,592713792.0,5.92,0.06,0.01,6.0
2015-04-09,000655,17.6,17.27,17.81,16.91,508815,883257744.0,5.33,2.19,0.37,8.55
2015-04-10,000655,17.03,16.89,17.03,16.56,249756,420812784.0,2.72,-2.2,-0.38,4.2
2015-04-13,000655,16.9,16.56,16.9,16.26,277544,457570144.0,3.79,-1.95,-0.33,4.66
2015-04-14,000655,16.29,16.21,16.32,16.07,233940,378496304.0,1.51,-2.11,-0.35,3.93
2015-04-15,000655,16.18,16.18,16.6,16.03,179923,294713216.0,3.52,-0.19,-0.03,3.02
2015-04-16,000655,16.1,15.75,16.1,15.0,175772,274591872.0,6.8,-2.66,-0.43,2.95
2015-04-17,000655,15.76,16.06,16.45,15.76,184985,299047824.0,4.38,1.97,0.31,3.11
2015-04-20,000655,16.07,16.16,16.68,15.2,237340,384162016.0,9.22,0.62,0.1,3.99
2015-04-21,000655,16.07,16.53,16.57,15.85,173630,283730336.0,4.46,2.29,0.37,2.92
2015-04-22,000655,16.56,17.11,17.28,16.55,297279,503377760.0,4.42,3.51,0.58,4.99
2015-04-23,000655,17.26,17.16,17.43,16.62,290008,494284960.0,4.73,0.29,0.05,4.87
2015-04-24,000655,16.95,16.51,17.11,16.1,179631,298893520.0,5.89,-3.79,-0.65,3.02
2015-04-27,000655,16.35,16.34,16.75,16.2,175266,288383376.0,3.33,-1.03,-0.17,2.94
2015-04-28,000655,16.34,16.5,16.81,16.34,183482,304461712.0,2.88,0.98,0.16,3.08
2015-04-29,000655,16.35,17.23,17.49,16.31,280907,480384416.0,7.15,4.42,0.73,4.72
2015-04-30,000655,17.15,17.34,17.78,16.92,191561,335006336.0,4.99,0.64,0.11,3.22
2015-05-04,000655,17.61,18.38,19.06,17.5,270493,498954768.0,9.0,6.0,1.04,4.54
2015-05-05,000655,18.3,18.36,19.08,18.08,241424,447453616.0,5.44,-0.11,-0.02,4.06
2015-05-06,000655,18.01,16.98,18.55,16.8,219386,386001584.0,9.53,-7.52,-1.38,3.69
2015-05-07,000655,16.98,16.25,16.98,15.6,116667,189839039.0,8.13,-4.3,-0.73,1.96
2015-05-08,000655,16.24,16.73,16.73,16.12,104889,172012918.0,3.75,2.95,0.48,1.76
2015-05-11,000655,16.99,16.8,17.17,16.2,191204,316294208.0,5.8,0.42,0.07,3.21
2015-05-12,000655,16.72,16.65,16.97,16.3,159415,265743442.0,3.99,-0.89,-0.15,2.68
2015-05-13,000655,16.66,17.92,18.2,16.46,248534,435073680.0,10.45,7.63,1.27,4.17
2015-05-14,000655,17.79,17.65,17.91,17.4,150859,265885941.0,2.85,-1.51,-0.27,2.53
2015-05-15,000655,17.65,16.7,17.65,16.62,129339,219467964.0,5.84,-5.38,-0.95,2.17
2015-05-18,000655,16.67,16.89,17.25,16.02,151444,253321171.0,7.37,1.14,0.19,2.54
2015-05-19,000655,16.7,17.32,17.7,16.59,151661,261827152.0,6.57,2.55,0.43,2.55
2015-05-20,000655,17.28,17.75,18.33,17.27,225551,403759568.0,6.12,2.48,0.43,3.79
2015-05-21,000655,17.9,19.53,19.53,17.9,189227,363307968.0,9.18,10.03,1.78,3.18
2015-08-24,000655,17.58,17.58,17.58,17.58,312,548496.0,0.0,-9.98,-1.95,0.01
2015-08-25,000655,15.82,15.82,15.82,15.82,477,754614.0,0.0,-10.01,-1.76,0.01
2015-08-26,000655,14.24,14.24,14.24,14.24,4271,6081904.0,0.0,-9.99,-1.58,0.07
2015-08-27,000655,12.82,12.82,12.82,12.82,1520,1948640.0,0.0,-9.97,-1.42,0.03
2015-08-28,000655,11.54,12.36,12.82,11.54,1002273,1184273040.0,9.98,-3.59,-0.46,16.84
2015-08-31,000655,11.76,11.12,11.76,11.12,231163,260539835.0,5.18,-10.03,-1.24,3.88
2015-09-01,000655,10.05,10.01,10.35,10.01,146040,146859245.0,3.06,-9.98,-1.11,2.45
