日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-05,000661,86.69,87.03,87.29,84.52,18342,158289750.0,3.19,0.38,0.33,1.4
2015-01-06,000661,86.53,90.4,91.68,85.91,24387,217953952.0,6.63,3.87,3.37,1.86
2015-01-07,000661,90.34,89.3,90.4,88.05,9141,81582433.0,2.6,-1.22,-1.1,0.7
2015-01-08,000661,89.87,90.8,91.19,88.7,13282,120192245.0,2.79,1.68,1.5,1.01
2015-01-09,000661,90.5,89.96,91.19,89.5,9112,82364583.0,1.86,-0.93,-0.84,0.69
2015-01-12,000661,89.75,87.4,89.75,86.8,9362,81935874.0,3.28,-2.85,-2.56,0.71
2015-01-13,000661,86.9,92.35,92.5,86.9,26422,240774353.0,6.41,5.66,4.95,2.01
2015-01-14,000661,91.71,90.8,92.29,90.4,11557,105453442.0,2.05,-1.68,-1.55,0.88
2015-01-15,000661,90.9,90.9,91.59,90.23,6326,57488955.0,1.5,0.11,0.1,0.48
2015-01-16,000661,90.8,91.34,92.5,90.05,9621,88260889.0,2.7,0.48,0.44,0.73
2015-01-19,000661,90.6,91.9,95.47,89.89,16923,157475525.0,6.11,0.61,0.56,1.29
2015-01-20,000661,92.0,94.79,96.49,92.0,17275,163883844.0,4.89,3.14,2.89,1.32
2015-01-21,000661,94.95,95.6,96.8,93.0,15814,151001140.0,4.01,0.85,0.81,1.2
2015-01-22,000661,95.1,95.28,95.94,94.5,8620,82095473.0,1.51,-0.33,-0.32,0.66
2015-01-23,000661,95.27,95.0,96.85,94.62,15221,145685507.0,2.34,-0.29,-0.28,1.16
2015-01-26,000661,95.1,97.98,98.29,94.12,24453,237676721.0,4.39,3.14,2.98,1.86
2015-01-27,000661,97.2,97.0,98.5,96.52,9868,96109578.0,2.02,-1.0,-0.98,0.75
2015-01-28,000661,97.34,95.25,97.55,95.25,8505,82108532.0,2.37,-1.8,-1.75,0.65
2015-01-29,000661,94.5,92.93,95.54,92.51,10878,101925132.0,3.18,-2.44,-2.32,0.83
2015-01-30,000661,92.99,92.9,95.1,92.0,7251,68044285.0,3.34,-0.03,-0.03,0.55
2015-02-02,000661,92.01,94.49,94.6,92.01,10443,98062492.0,2.79,1.71,1.59,0.8
2015-02-03,000661,94.49,93.6,96.02,92.32,14776,138476406.0,3.92,-0.94,-0.89,1.13
2015-02-04,000661,93.1,92.03,93.77,92.03,12130,112283444.0,1.86,-1.68,-1.57,0.92
2015-02-05,000661,92.18,89.63,93.28,89.22,25052,227659253.0,4.41,-2.61,-2.4,1.91
2015-02-06,000661,89.55,87.9,89.63,87.58,11121,98336620.0,2.29,-1.93,-1.73,0.85
2015-02-09,000661,88.0,89.28,90.58,88.0,8602,76845363.0,2.94,1.57,1.38,0.66
2015-02-10,000661,88.99,89.44,89.84,88.53,4397,39203921.0,1.47,0.18,0.16,0.33
2015-02-11,000661,89.44,91.0,91.49,89.0,10986,99214715.0,2.78,1.74,1.56,0.84
2015-02-12,000661,90.82,90.1,90.82,89.0,4574,41260741.0,2.0,-0.99,-0.9,0.35
2015-02-13,000661,90.79,91.08,92.18,90.33,8616,78608847.0,2.05,1.09,0.98,0.66
2015-02-16,000661,91.5,91.26,92.3,90.82,10053,92063827.0,1.62,0.2,0.18,0.77
2015-02-17,000661,91.22,91.65,92.3,91.02,7754,71223161.0,1.4,0.43,0.39,0.59
2015-02-25,000661,92.2,97.19,97.97,92.0,27032,258116412.0,6.51,6.04,5.54,2.06
2015-02-26,000661,97.19,95.61,97.79,95.0,14461,138573556.0,2.87,-1.63,-1.58,1.1
2015-02-27,000661,95.7,97.7,99.29,95.26,17424,170434443.0,4.22,2.19,2.09,1.33
2015-03-02,000661,97.7,98.95,99.0,96.02,16174,158239928.0,3.05,1.28,1.25,1.23
2015-03-03,000661,98.5,97.96,100.88,97.6,19683,195415506.0,3.31,-1.0,-0.99,1.5
2015-03-04,000661,98.35,98.0,98.8,97.09,17109,167442109.0,1.75,0.04,0.04,1.3
2015-03-05,000661,98.67,98.8,101.2,97.81,19295,191377844.0,3.46,0.82,0.8,1.47
2015-03-06,000661,99.07,95.18,99.07,95.02,11815,113905706.0,4.1,-3.66,-3.62,0.9
2015-03-09,000661,95.15,96.95,96.95,94.11,11907,114233205.0,2.98,1.86,1.77,0.91
2015-03-10,000661,97.1,98.6,99.3,97.0,12701,125039567.0,2.37,1.7,1.65,0.97
2015-03-11,000661,98.6,96.95,98.77,96.8,10803,105436410.0,2.0,-1.67,-1.65,0.82
2015-03-12,000661,97.5,98.3,100.2,97.01,28249,279232544.0,3.29,1.39,1.35,2.15
2015-03-13,000661,97.8,98.28,98.28,95.01,23703,228417296.0,3.33,-0.02,-0.02,1.8
2015-03-16,000661,98.66,98.44,99.5,97.61,33394,328955344.0,1.92,0.16,0.16,2.54
2015-03-17,000661,98.8,108.28,108.28,98.45,72078,731954768.0,9.99,10.0,9.84,5.49
2015-03-18,000661,107.99,107.39,107.99,104.71,42817,454420224.0,3.03,-0.82,-0.89,3.26
2015-03-19,000661,106.77,106.1,107.3,105.38,20676,219636509.0,1.79,-1.2,-1.29,1.57
2015-03-20,000661,106.2,107.11,110.18,106.2,29614,319437664.0,3.75,0.95,1.01,2.26
2015-03-23,000661,107.19,107.43,109.85,106.11,25286,271250672.0,3.49,0.3,0.32,1.93
2015-03-24,000661,107.5,107.1,108.03,104.45,29739,314814768.0,3.33,-0.31,-0.33,2.26
2015-03-25,000661,106.88,107.45,110.16,106.01,31978,346353232.0,3.87,0.33,0.35,2.44
2015-03-26,000661,107.21,108.21,109.69,105.1,28851,309055808.0,4.27,0.71,0.76,2.2
2015-03-27,000661,108.23,112.5,114.98,108.23,38559,431841600.0,6.24,3.96,4.29,2.94
2015-03-30,000661,112.88,115.9,120.5,112.05,34513,403286304.0,7.51,3.02,3.4,2.63
2015-03-31,000661,115.9,114.86,117.96,114.82,21105,245254503.0,2.71,-0.9,-1.04,1.61
2015-04-01,000661,114.5,119.99,121.4,114.03,26172,308994896.0,6.42,4.47,5.13,1.99
2015-04-02,000661,120.06,121.13,125.18,118.0,25200,305942192.0,5.98,0.95,1.14,1.92
2015-04-03,000661,120.7,119.0,120.77,117.7,26347,312944608.0,2.53,-1.76,-2.13,2.01
2015-04-07,000661,119.88,120.19,120.28,118.01,23508,280179904.0,1.91,1.0,1.19,1.79
2015-04-08,000661,120.02,116.8,124.0,116.0,30515,362281168.0,6.66,-2.82,-3.39,2.32
2015-04-09,000661,117.01,115.19,117.79,111.01,28422,321898112.0,5.8,-1.38,-1.61,2.16
2015-04-10,000661,114.5,117.75,118.6,112.3,24908,291168784.0,5.47,2.22,2.56,1.9
2015-04-13,000661,117.85,126.57,128.5,117.05,38251,471584096.0,9.72,7.49,8.82,2.91
2015-04-14,000661,126.11,127.99,132.0,123.0,32590,420545472.0,7.11,1.12,1.42,2.48
2015-04-15,000661,127.35,131.24,136.0,122.0,35166,450645824.0,10.94,2.54,3.25,2.68
2015-04-16,000661,129.8,135.23,138.88,128.6,30150,407976000.0,7.83,3.04,3.99,2.3
2015-04-17,000661,136.99,131.88,136.99,131.5,20554,273217984.0,4.06,-2.48,-3.35,1.57
2015-04-20,000661,131.0,128.0,131.77,125.0,21980,281244400.0,5.13,-2.94,-3.88,1.67
2015-04-21,000661,127.5,127.57,129.99,124.51,26359,334650160.0,4.28,-0.34,-0.43,2.01
2015-04-22,000661,132.78,130.1,133.49,128.02,25086,325731232.0,4.29,1.98,2.53,1.91
2015-04-23,000661,130.08,126.65,130.08,125.3,28551,362469456.0,3.67,-2.65,-3.45,2.17
2015-04-24,000661,125.5,126.6,128.98,124.0,32871,415130944.0,3.93,-0.04,-0.05,2.5
2015-04-27,000661,126.77,126.72,129.49,125.0,33173,422761920.0,3.55,0.09,0.12,2.53
2015-04-28,000661,126.72,122.99,128.17,122.03,26212,325762480.0,4.85,-2.94,-3.73,2.0
2015-04-29,000661,122.6,128.25,128.5,122.6,25146,316705248.0,4.8,4.28,5.26,1.91
2015-04-30,000661,129.01,127.6,132.1,126.02,26617,342670720.0,4.74,-0.51,-0.65,2.03
2015-05-04,000661,127.81,124.35,129.5,124.0,23020,288337008.0,4.31,-2.55,-3.25,1.75
2015-05-05,000661,124.2,118.18,124.2,114.67,39096,462217952.0,7.66,-4.96,-6.17,2.98
2015-05-06,000661,117.5,115.7,118.49,115.3,18380,214765882.0,2.7,-2.1,-2.48,1.4
2015-05-07,000661,115.91,112.42,116.13,111.58,19557,222147406.0,3.93,-2.83,-3.28,1.49
2015-05-08,000661,113.1,115.01,115.59,111.97,34366,391130896.0,3.22,2.3,2.59,2.62
2015-05-11,000661,115.88,119.1,120.49,115.0,33247,392141728.0,4.77,3.56,4.09,2.53
2015-05-12,000661,119.9,122.98,123.68,118.88,31135,378198320.0,4.03,3.26,3.88,2.37
2015-05-13,000661,121.51,120.38,123.65,119.6,26274,318596176.0,3.29,-2.11,-2.6,2.0
2015-05-14,000661,120.78,116.58,120.87,115.73,30065,352481696.0,4.27,-3.16,-3.8,2.29
2015-05-15,000661,116.51,118.05,118.58,113.73,26888,311565248.0,4.16,1.26,1.47,2.05
2015-05-18,000661,117.0,123.2,123.48,116.92,40574,490892432.0,5.56,4.36,5.15,3.09
2015-05-19,000661,123.21,127.67,129.0,123.21,30337,382301008.0,4.7,3.63,4.47,2.31
